[5A] 대상 사용자 = 121
--- 졸업 조건(a >= threshold) 영향 ---
  충족→미충족(regression) : 0
  미충족→충족(newly)      : 0

--- 조직별 요약 ---
  (없음)         total=2 changed=2 verdictFail=0 officialRest=2 gradLost=0 gradGained=0
  encre        total=31 changed=23 verdictFail=0 officialRest=21 gradLost=0 gradGained=0
  oranke       total=30 changed=21 verdictFail=0 officialRest=19 gradLost=0 gradGained=0
  phalanx      total=58 changed=50 verdictFail=0 officialRest=48 gradLost=0 gradGained=0

--- 대표 사용자 10명(변화 크기순) ---

  user=19cb4129-ba73-4685-9912-7d9d4ed3768b org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=1cde2e27-3069-4890-847c-83fd20a81f74 org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=247021bc-374b-48f4-8d49-b181d149ee33 org=encre dbStatus=active thr=30
    A(cluster3): a1 b2 c0 d0 e3 h3 [active]
    B(core)    : a0 b2 c0 d1 e2 h3 [active]
    원인: officialRest,tallying

  user=33cd8f8a-a412-49dc-914c-01b1251871f9 org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=35cd5770-98ec-49b4-95db-8ca6c92e53bf org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=3c9d2dfe-629c-4d81-b847-80e42e656d4c org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=42913661-f637-4282-bdc5-04406dcb1aca org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=566900f7-f4b2-4a95-bf11-d3dc4346453a org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=56c46098-5c4c-4da8-8658-a6eb57fc1bad org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

  user=6bd51d10-8f4d-48ba-82cf-9284fc75eff0 org=phalanx dbStatus=active thr=30
    A(cluster3): a3 b1 c0 d0 e4 h4 [active]
    B(core)    : a2 b1 c0 d1 e3 h4 [active]
    원인: officialRest,tallying

[JSON]
{"total":121,"comparable":121,"skipped":0,"unchanged":25,"changed":96,"causes":{"verdictFail":0,"officialRestRejudge":90,"tallyingIncluded":96,"structural":21,"statusChanged":0},"transitions":{},"gradLost":0,"gradGained":0,"org":[{"org":"(없음)","total":2,"changed":2,"verdictFail":0,"officialRest":2,"gradLost":0,"gradGained":0},{"org":"encre","total":31,"changed":23,"verdictFail":0,"officialRest":21,"gradLost":0,"gradGained":0},{"org":"oranke","total":30,"changed":21,"verdictFail":0,"officialRest":19,"gradLost":0,"gradGained":0},{"org":"phalanx","total":58,"changed":50,"verdictFail":0,"officialRest":48,"gradLost":0,"gradGained":0}]}
=========================================================
